date,city,country,aqi,pm25,pm10,o3,no2,so2,co,no,nh3
2024-04-17T13:00:00+00:00,Delhi,IN,4,27.91,36.88,153.06,19.88,21.7,580.79,0.23,9.25
2024-04-17T14:00:00+00:00,Delhi,IN,3,31.33,43.09,131.61,22.62,25.75,687.6,0,12.41
2024-04-17T15:00:00+00:00,Delhi,IN,3,32.93,46.5,121.59,22.62,26.23,734.33,0,14.69
2024-04-17T16:00:00+00:00,Delhi,IN,3,36.87,52.89,110.15,25.02,29.56,821.11,0,17.23
2024-04-17T17:00:00+00:00,Delhi,IN,3,41.83,60.78,97.27,28.79,33.38,921.25,0,20.27
2024-04-17T18:00:00+00:00,Delhi,IN,3,39.64,58.19,87.98,28.79,32.42,881.2,0,20.27
2024-04-17T19:00:00+00:00,Delhi,IN,3,33.54,48.77,82.97,26.05,28.61,754.36,0,19
2024-04-17T20:00:00+00:00,Delhi,IN,3,32.56,46.43,77.96,23.99,28.37,714.3,0,20.01
2024-04-17T21:00:00+00:00,Delhi,IN,3,33.97,47.63,71.53,23.31,29.8,727.65,0,21.53
2024-04-17T22:00:00+00:00,Delhi,IN,3,36.26,50.38,63.66,23.99,30.99,761.03,0,22.8
2024-04-17T23:00:00+00:00,Delhi,IN,3,40.32,55.84,54.36,26.05,32.9,834.47,0,23.81
2024-04-18T00:00:00+00:00,Delhi,IN,3,46.24,63.74,43.99,31.53,37.67,934.6,0,25.08
2024-04-18T01:00:00+00:00,Delhi,IN,4,59.79,82.87,28.25,45.24,47.68,1228.33,0.19,29.13
2024-04-18T02:00:00+00:00,Delhi,IN,5,83,117.58,15.2,63.06,62.94,1762.39,6.93,36.48
2024-04-18T03:00:00+00:00,Delhi,IN,5,94.48,133.96,35.41,69.23,72.48,2056.12,16.32,37.49
2024-04-18T04:00:00+00:00,Delhi,IN,5,83.97,115.21,95.84,58.26,73.43,1628.88,9.72,29.13
2024-04-18T05:00:00+00:00,Delhi,IN,5,89.07,117.72,173.09,45.93,74.39,1415.25,5.36,25.84
2024-04-18T06:00:00+00:00,Delhi,IN,5,97.57,122.98,254.63,32.56,69.62,1201.63,2.71,22.55
2024-04-18T07:00:00+00:00,Delhi,IN,4,37.83,50.84,170.23,11.31,23.37,554.08,1.03,8.36
2024-04-18T08:00:00+00:00,Delhi,IN,3,22.9,34.42,130.18,9.25,15.5,433.92,0.95,5.57
2024-04-18T09:00:00+00:00,Delhi,IN,3,20.56,32.92,120.16,9.6,14.78,417.23,0.87,5.13
2024-04-18T10:00:00+00:00,Delhi,IN,3,18.84,31.97,110.15,10.54,14.31,410.56,0.69,5.13
2024-04-18T11:00:00+00:00,Delhi,IN,3,18.78,32.78,101.57,13.37,15.74,433.92,0.56,5.64
2024-04-18T12:00:00+00:00,Delhi,IN,2,19.97,34.97,97.27,16.62,17.64,473.98,0.3,6.4
2024-04-18T13:00:00+00:00,Delhi,IN,3,41.92,68.55,53.64,54.84,39.58,1161.58,0.05,16.72
2024-04-18T14:00:00+00:00,Delhi,IN,5,77.33,122.35,12.52,85.68,64.85,2029.42,1.02,30.4
2024-04-18T15:00:00+00:00,Delhi,IN,5,104.19,163.64,0.97,85.68,76.29,2510.07,8.16,39.01
