date,city,country,aqi,pm25,pm10,o3,no2,so2,co,no,nh3,aqi_cpcb,aqi_category
2024-01-01T00:00:00+00:00,Delhi,IN,5.0,517.83,545.79,0.0,50.04,32.9,2990.72,33.08,9.25,400,Very Poor
2024-01-01T01:00:00+00:00,Delhi,IN,5.0,520.28,552.17,0.0,49.35,37.67,3471.37,48.28,12.54,400,Very Poor
2024-01-01T02:00:00+00:00,Delhi,IN,5.0,555.73,611.88,0.0,53.47,53.41,4806.52,87.62,20.52,400,Very Poor
2024-01-01T03:00:00+00:00,Delhi,IN,5.0,576.2,653.37,0.01,61.01,67.71,5928.04,126.96,25.84,400,Very Poor
2024-01-01T04:00:00+00:00,Delhi,IN,5.0,349.69,385.93,2.84,84.31,125.89,2376.56,27.05,0.92,400,Very Poor
2024-01-01T05:00:00+00:00,Delhi,IN,5.0,292.11,327.01,12.16,83.63,123.98,1949.31,16.09,3.32,400,Very Poor
2024-01-01T06:00:00+00:00,Delhi,IN,5.0,272.79,309.09,19.49,79.51,133.51,1895.9,20.56,5.95,400,Very Poor
2024-01-01T07:00:00+00:00,Delhi,IN,5.0,248.25,284.52,31.47,72.66,131.61,1789.09,23.47,7.03,400,Very Poor
2024-01-01T08:00:00+00:00,Delhi,IN,5.0,217.21,251.53,41.84,69.92,120.16,1628.88,18.78,7.47,400,Very Poor
2024-01-01T09:00:00+00:00,Delhi,IN,5.0,202.52,236.3,51.5,69.23,112.53,1535.42,14.75,7.79,400,Very Poor
2024-01-01T10:00:00+00:00,Delhi,IN,5.0,224.85,266.44,40.05,80.2,96.32,2002.72,18.33,14.69,400,Very Poor
2024-01-01T11:00:00+00:00,Delhi,IN,5.0,276.82,333.68,13.23,101.45,81.06,2964.02,34.87,24.32,400,Very Poor
2024-01-01T12:00:00+00:00,Delhi,IN,5.0,323.9,392.8,1.07,108.3,72.48,3898.62,65.27,26.6,400,Very Poor
2024-01-01T13:00:00+00:00,Delhi,IN,5.0,379.37,463.12,0.0,106.93,70.57,4753.11,91.2,28.63,400,Very Poor
2024-01-01T14:00:00+00:00,Delhi,IN,5.0,446.03,550.25,0.0,101.45,67.71,5447.39,97.45,29.39,400,Very Poor
2024-01-01T15:00:00+00:00,Delhi,IN,5.0,493.5,611.67,0.0,93.22,61.04,5714.42,90.3,26.85,400,Very Poor
2024-01-01T16:00:00+00:00,Delhi,IN,5.0,523.55,647.31,0.0,85.0,54.84,5714.42,82.25,24.57,400,Very Poor
