date,city,country,temperature,humidity,pressure,wind_speed,wind_direction,weather_type,weather_description,day_of_week,month
2024-04-16,Delhi,India,29.8,36,985.5,15.3,295,Cloudy,Overcast,Tuesday,April
2024-04-17,Delhi,India,29.3,27,984.2,19.4,300,Cloudy,Overcast,Wednesday,April
2024-04-18,Delhi,India,30.9,24,982.7,11.2,293,Cloudy,Overcast,Thursday,April
2024-04-19,Delhi,India,31.7,29,980.5,11.8,282,Cloudy,Overcast,Friday,April
2024-04-20,Delhi,India,30.0,28,980.0,14.8,304,Cloudy,Overcast,Saturday,April
2024-04-21,Delhi,India,30.1,27,981.5,12.1,310,Cloudy,Overcast,Sunday,April
2024-04-22,Delhi,India,31.1,25,982.1,13.3,311,Cloudy,Overcast,Monday,April
2024-04-23,Delhi,India,30.0,26,981.6,9.8,306,Clear,Mainly clear,Tuesday,April
2024-04-24,Delhi,India,29.8,28,981.7,11.8,303,Clear,Clear sky,Wednesday,April
2024-04-25,Delhi,India,30.0,24,981.9,11.6,316,Cloudy,Partly cloudy,Thursday,April
2024-04-26,Delhi,India,32.2,23,980.8,10.6,248,Cloudy,Overcast,Friday,April
2024-04-27,Delhi,India,32.0,27,981.4,15.5,284,Cloudy,Overcast,Saturday,April
2024-04-28,Delhi,India,30.6,28,982.6,9.8,329,Cloudy,Overcast,Sunday,April
2024-04-29,Delhi,India,30.8,26,981.9,11.7,323,Cloudy,Partly cloudy,Monday,April
2024-04-30,Delhi,India,29.7,25,980.9,12.8,304,Clear,Clear sky,Tuesday,April
2024-05-01,Delhi,India,26.9,22,979.2,16.5,314,Clear,Clear sky,Wednesday,May
2024-05-02,Delhi,India,27.6,26,980.3,13.3,308,Cloudy,Overcast,Thursday,May
2024-05-03,Delhi,India,30.2,22,981.0,13.6,300,Cloudy,Overcast,Friday,May
2024-05-04,Delhi,India,33.0,19,980.9,11.3,301,Cloudy,Overcast,Saturday,May
2024-05-05,Delhi,India,33.3,20,977.3,12.3,306,Cloudy,Partly cloudy,Sunday,May
2024-05-06,Delhi,India,33.8,22,979.2,13.5,306,Cloudy,Partly cloudy,Monday,May
2024-05-07,Delhi,India,34.0,25,980.8,9.0,25,Clear,Mainly clear,Tuesday,May
2024-05-08,Delhi,India,32.7,39,981.3,13.6,111,Cloudy,Overcast,Wednesday,May
2024-05-09,Delhi,India,32.5,37,980.7,14.0,106,Cloudy,Partly cloudy,Thursday,May
2024-05-10,Delhi,India,32.1,43,981.5,11.3,106,Drizzle,Light drizzle,Friday,May
2024-05-11,Delhi,India,31.9,42,983.2,9.1,3,Drizzle,Light drizzle,Saturday,May
2024-05-12,Delhi,India,32.3,38,983.3,10.3,20,Drizzle,Light drizzle,Sunday,May
2024-05-13,Delhi,India,33.0,29,983.5,8.9,335,Cloudy,Overcast,Monday,May
2024-05-14,Delhi,India,32.8,21,983.8,10.5,316,Cloudy,Overcast,Tuesday,May
2024-05-15,Delhi,India,34.2,19,983.4,10.1,316,Clear,Clear sky,Wednesday,May
2024-05-16,Delhi,India,34.5,18,982.8,9.0,339,Clear,Clear sky,Thursday,May
2024-05-17,Delhi,India,36.3,18,980.0,10.5,303,Cloudy,Partly cloudy,Friday,May
2024-05-18,Delhi,India,37.0,19,977.5,12.5,295,Clear,Mainly clear,Saturday,May
2024-05-19,Delhi,India,36.7,17,976.0,12.6,300,Clear,Mainly clear,Sunday,May
2024-05-20,Delhi,India,36.4,19,976.8,11.7,304,Cloudy,Overcast,Monday,May
2024-05-21,Delhi,India,35.2,28,977.5,10.0,90,Clear,Clear sky,Tuesday,May
2024-05-22,Delhi,India,35.2,36,978.0,14.8,108,Drizzle,Light drizzle,Wednesday,May
2024-05-23,Delhi,India,35.7,36,977.3,14.1,125,Clear,Mainly clear,Thursday,May
2024-05-24,Delhi,India,35.6,36,977.3,12.6,112,Clear,Clear sky,Friday,May
2024-05-25,Delhi,India,37.4,27,975.4,12.5,311,Clear,Mainly clear,Saturday,May
2024-05-26,Delhi,India,38.1,17,973.6,12.4,333,Clear,Clear sky,Sunday,May
2024-05-27,Delhi,India,38.2,18,971.1,11.3,330,Clear,Mainly clear,Monday,May
2024-05-28,Delhi,India,37.3,14,969.3,9.0,317,Clear,Clear sky,Tuesday,May
2024-05-29,Delhi,India,38.6,18,970.5,10.9,272,Cloudy,Overcast,Wednesday,May
2024-05-30,Delhi,India,39.2,16,973.7,15.8,276,Cloudy,Overcast,Thursday,May
